ID,グループ,施設名,郵便番号,所在地,緯度,経度,電話番号
1,児童館,北島田児童館,770-0051,徳島市北島田町3丁目57,,,088-632-0020
2,児童館,応神児童館,771-1153,徳島市応神町吉成字西吉成142-2,,,088-641-3610
3,児童館,不動児童館,770-0062,徳島市不動東町4丁目1532-1,,,088-631-6500
4,児童館,鮎喰児童館,770-0046,徳島市鮎喰1丁目226-1,,,088-632-4231
5,児童館,南井上児童館,779-3117,徳島市国府町日開944-1,,,088-642-7151
6,児童館,芝原児童館,779-3112,徳島市国府町芝原字神楽免43-1,,,088-642-4995
7,児童館,一宮児童館,779-3132,徳島市一宮町西丁1000-2,,,088-644-3155
8,児童館,上八万児童館,770-8040,徳島市上八万町樋口61,,,088-668-6391
9,児童館,勝占東部児童館,770-8012,徳島市大原町中須16-19,,,088-662-6730
10,児童館,沖洲児童館,770-0872,徳島市北沖洲3丁目-4-7,,,088-664-3915
11,児童館,八万中央児童館,770-8076,徳島市八万町内浜80-14,,,088-668-8193
12,児童館,加茂児童館,770-0003,徳島市北田宮4丁目6-60,,,088-633-7679
13,児童館,渭東児童館,770-0868,徳島市福島2丁目4-24,,,088-624-1776
14,児童館,津田児童館,770-8002,徳島市津田町4丁目5-55,,,088-663-4566
15,児童館,西富田・新町児童館,770-0925,徳島市弓町1丁目17,,,088-655-7188
16,児童館,佐古児童館,770-0024,徳島市佐古4番町7-1,,,088-656-0588
17,児童館,多家良中央児童館,771-4264,徳島市多家良町小路地10番地,,,088-636-2002
18,児童館,内町児童館,770-0847,徳島市幸町3丁目71番地の1,,,088-611-1170
19,児童館,住吉・城東児童館,770-0861,徳島市住吉4丁目4番25号,,,088-611-1125
20,児童館,市場川崎児童館,779-0222,鳴門市大麻町三俣字前野22-1,,,088-689-3410
21,児童館,中郷児童館,773-0016,小松島市中郷町字加藤80-1,,,0885-33-3980
22,児童館,泰地児童館,773-0016,小松島市中郷町桜馬場103-1,,,0885-33-1702
23,児童館,目佐児童館,773-0023,小松島市坂野町字目左88-1,,,0885-38-1784
24,児童館,黒地児童館,779-1121,阿南市那賀川町黒地658-1,,,0884-42-2620
25,児童館,羽ノ浦南児童館,779-1105,阿南市羽ノ浦町古圧中相3-1,,,0884-44-5984
26,児童館,羽ノ浦さくら児童館,779-1103,阿南市羽ノ浦町春日野1-110,,,0884-44-6168
27,児童館,羽ノ浦西児童館,773-1106,阿南市羽ノ浦町岩脇宮ノ下112,,,0884-44-2279
28,児童館,鴨島児童館,776-0014,吉野川市鴨島町知恵島1208-1,,,0883-24-2379
29,児童館,鴨島南児童館,776-0033,吉野川市鴨島町飯尾550-76,,,0883-22-2277
30,児童館,近久児童館,779-3306,吉野川市川島町大字学字近久157-2,,,0883-25-4985
31,児童館,八坂児童館,779-3407,吉野川市山川町字安楽寺165,,,0883-42-6828
32,児童館,八幡児童館,771-1624,阿波市市場町山野上字立石48,,,0883-36-5785
33,児童館,市場児童センター「ゆめポケット」,771-1602,阿波市市場町市場字上野段426-1,,,0883-36-7200
34,児童館,大俣児童館「どんぐりっこ」,771-1613,阿波市市場町大俣字行峰258-1,,,0883-26-6158
35,児童館,美馬第一児童館,771-2105,美馬市美馬町字養泉11,,,0883-63-4640
36,児童館,美馬第二児童館,771-2107,美馬市美馬町字境目110-7,,,0883-63-6138
37,児童館,美波町児童館,779-2305,海部郡美波町奥河内字井ノ上22-3,,,0884-77-2111
38,児童館,松茂町中央児童館,771-0220,板野郡松茂町広島字三番越2-10,,,088-699-6180
39,児童館,松茂町東部児童館,771-0219,板野郡松茂町笹木野字八北開拓224,,,088-699-4877
40,児童館,松茂町長原児童館,771-0216,板野郡松茂町長原525-1,,,088-699-8370
41,児童館,松茂町松茂児童館,771-0219,板野郡松茂町笹木野字山上77-1,,,088-699-2688
42,児童館,松茂町喜来児童館,771-0212,板野郡松茂町中喜来字前原西一番越7,,,088-699-8646
43,児童館,北島北児童館,771-0201,板野郡北島町北村字壱町四反地18-1,,,088-698-1385
44,児童館,北島南児童館,771-0205,板野郡北島町江尻字宮ノ本41-3,,,088-698-5930
45,児童館,北島中央児童館,771-0203,板野郡北島町中村字長池28,,,088-698-8801
46,児童館,北島東児童館,771-0203,板野郡北島町中村字本須76-7,,,088-698-6185
47,児童館,北島西児童館,771-0206,板野郡北島町高房字勝端境95-10,,,088-698-5918
48,児童館,江ノ口児童館,771-1253,板野郡藍住町矢上字江ノ口80-1,,,088-692-4827
49,児童館,西部児童館,771-1252,板野郡藍住町矢上北分17-1,,,088-692-7773
50,児童館,富吉児童館,771-1230,板野郡藍住町富吉字大向5-1,,,088-692-7045
51,児童館,勝瑞児童館,771-1272,板野郡藍住町勝瑞字成長70-5,,,088-641-4040
52,児童館,東中富児童館,771-1220,板野郡藍住町東中富字西傍示33-2,,,088-692-8810
53,児童館,徳命児童館,771-1210,板野郡藍住町徳命字中ノ丁152-2,,,088-692-4801
54,児童館,奥野児童館,771-1201,板野郡藍住町奥野宇原27-1,,,088-692-8858
55,児童館,住吉児童館,771-1265,板野郡藍住町住吉字神蔵78,,,088-692-0221
56,児童館,板野町東児童館,779-0105,板野郡板野町大寺字亀山西一番地,,,088-672-3651
57,児童館,板野町南児童館,779-0118,板野郡板野町下圧字文開1-1,,,088-672-0113
58,児童館,板野町西児童館,779-0111,板野郡板野町那東字福道21-1,,,088-672-6060
59,児童館,三庄児童館,779-4702,三好郡東みよし町西庄字光吉1,,,0883-82-2119
60,児童館,加茂児童館,779-4701,三好郡東みよし町加茂2638,,,0883-82-2079
61,大学関連,徳島大学事務局,770-8501,徳島市新蔵町2-24,,,088-656-7000
